timestamp_ms,acc_x,acc_y,acc_z,activity_label
2280498,-0.27,6.2803,6.0505,SIT_DOWN
2280518,-0.2396,6.1991,6.3679,SIT_DOWN
2280538,-0.2474,6.1397,6.6526,SIT_DOWN
2280558,-0.2638,6.129,6.8018,SIT_DOWN
2280578,-0.2852,6.1232,6.9558,SIT_DOWN
2280598,-0.2891,6.2428,7.0585,SIT_DOWN
2280618,-0.2695,6.4138,7.0829,SIT_DOWN
2280638,-0.2613,6.4751,7.1339,SIT_DOWN
2280658,-0.2686,6.5168,7.219,SIT_DOWN
2280678,-0.2885,6.6466,7.2664,SIT_DOWN
2280698,-0.3877,6.8148,7.3692,SIT_DOWN
2280718,-0.4795,7.0013,7.3769,SIT_DOWN
2280738,-0.6077,7.1434,7.388,SIT_DOWN
2280758,-0.6886,7.2914,7.3543,SIT_DOWN
2280778,-0.708,7.4189,7.2855,SIT_DOWN
2280798,-0.6708,7.482,7.1952,SIT_DOWN
2280818,-0.6566,7.4904,7.0906,SIT_DOWN
2280838,-0.6944,7.5459,6.9225,SIT_DOWN
2280858,-0.7602,7.6277,6.8345,SIT_DOWN
2280878,-0.7828,7.7686,6.6553,SIT_DOWN
2280898,-0.7773,7.905,6.4654,SIT_DOWN
2280918,-0.7505,8.0328,6.2531,SIT_DOWN
2280938,-0.6929,8.1289,6.0757,SIT_DOWN
2280958,-0.6392,8.2719,5.8938,SIT_DOWN
2280978,-0.6273,8.3329,5.7731,SIT_DOWN
2280998,-0.6444,8.3739,5.5933,SIT_DOWN
2281018,-0.6789,8.4547,5.4205,SIT_DOWN
2281038,-0.7151,8.5497,5.3031,SIT_DOWN
2281058,-0.7094,8.6539,5.1873,SIT_DOWN
2281078,-0.6768,8.704,5.0525,SIT_DOWN
2281098,-0.6423,8.7424,4.9443,SIT_DOWN
2281118,-0.6076,8.8015,4.877,SIT_DOWN
2281138,-0.5722,8.8773,4.8296,SIT_DOWN
2281158,-0.5314,8.9592,4.7681,SIT_DOWN
2281178,-0.4939,9.0428,4.708,SIT_DOWN
2281198,-0.4739,9.1107,4.6525,SIT_DOWN
2281218,-0.4818,9.1616,4.6023,SIT_DOWN
2281238,-0.5099,9.2021,4.5463,SIT_DOWN
2281258,-0.5311,9.2226,4.4969,SIT_DOWN
2281278,-0.5213,9.2084,4.4612,SIT_DOWN
2281298,-0.5201,9.1716,4.4409,SIT_DOWN
2281318,-0.5257,9.1029,4.4147,SIT_DOWN
2281338,-0.5416,9.0394,4.3809,SIT_DOWN
2281358,-0.5597,8.9894,4.3552,SIT_DOWN
2281378,-0.5564,8.9574,4.3298,SIT_DOWN
2281398,-0.5343,8.9257,4.3146,SIT_DOWN
2281418,-0.5112,8.8984,4.2913,SIT_DOWN
2281438,-0.5216,8.9017,4.2791,SIT_DOWN
2281458,-0.5269,8.8853,4.2804,SITTING
2281478,-0.5213,8.8369,4.2453,SITTING
2281498,-0.5227,8.824,4.2439,SITTING
2281518,-0.5144,8.8161,4.202,SITTING
2281538,-0.5307,8.8039,4.2285,SITTING
2281558,-0.5208,8.7941,4.2565,SITTING
2281578,-0.5273,8.771,4.281,SITTING
2281598,-0.5265,8.7331,4.2872,SITTING
2281618,-0.5186,8.7137,4.2918,SITTING
2281638,-0.5046,8.6986,4.3163,SITTING
2281658,-0.499,8.6883,4.3374,SITTING
2281678,-0.4956,8.681,4.348,SITTING
2281698,-0.4804,8.6769,4.353,SITTING
2281718,-0.4738,8.6668,4.3645,SITTING
2281738,-0.4629,8.6589,4.3897,SITTING
2281758,-0.4626,8.6506,4.4125,SITTING
2281778,-0.4566,8.6393,4.4269,SITTING
2281798,-0.4529,8.63,4.4391,SITTING
2281818,-0.4538,8.6177,4.4463,SITTING
2281838,-0.4586,8.6087,4.4474,SITTING
2281858,-0.462,8.5951,4.4504,SITTING
2281878,-0.4691,8.5822,4.4655,SITTING
2281898,-0.4674,8.5651,4.4692,SITTING
2281918,-0.471,8.5568,4.4714,SITTING
2281938,-0.4666,8.5455,4.493,SITTING
2281958,-0.4699,8.54,4.5195,SITTING
2281978,-0.4922,8.5395,4.5286,SITTING
2281998,-0.4876,8.5445,4.5071,SITTING
2282018,-0.5005,8.5504,4.465,SITTING
2282038,-0.5108,8.5465,4.4628,SITTING
2282058,-0.5102,8.5473,4.4488,SITTING
2282078,-0.5,8.5547,4.4514,SITTING
2282098,-0.4918,8.556,4.4429,SITTING
2282118,-0.4851,8.5597,4.4335,SITTING
2282138,-0.4841,8.5674,4.4249,SITTING
2282158,-0.4723,8.5729,4.4255,SITTING
2282178,-0.473,8.581,4.4212,SITTING
2282198,-0.466,8.5996,4.4027,SITTING
2282218,-0.4615,8.614,4.3898,SITTING
2282238,-0.466,8.6299,4.3943,SITTING
2282258,-0.4613,8.6401,4.3915,SITTING
2282278,-0.4491,8.6437,4.3938,SITTING
2282298,-0.4487,8.6317,4.3899,SITTING
2282318,-0.4492,8.6193,4.3906,SITTING
2282338,-0.4553,8.6129,4.3929,SITTING
2282358,-0.4572,8.6134,4.3861,SITTING
2282378,-0.4532,8.6175,4.3799,SITTING
2282398,-0.4492,8.6256,4.3789,SITTING
2282418,-0.4374,8.6394,4.3809,SITTING
2282438,-0.4574,8.651,4.3822,SITTING
2282458,-0.4454,8.6366,4.3665,SITTING
2282478,-0.4235,8.636,4.3642,SITTING
2282498,-0.4215,8.6549,4.3703,SITTING
2282518,-0.3715,8.6407,4.3739,SITTING
2282538,-0.3261,8.6088,4.3971,SITTING
2282558,-0.3161,8.6082,4.3991,SITTING
2282578,-0.3258,8.6047,4.3978,SITTING
2282598,-0.3309,8.6001,4.3997,SITTING
2282618,-0.3379,8.6002,4.4015,SITTING
2282638,-0.3453,8.6018,4.4045,SITTING
2282658,-0.3504,8.5977,4.4147,SITTING
2282678,-0.348,8.5983,4.4237,SITTING
2282698,-0.3424,8.6072,4.4308,SITTING
2282718,-0.3425,8.6133,4.4451,SITTING
2282738,-0.3397,8.6174,4.4548,SITTING
2282758,-0.3405,8.614,4.4572,SITTING
2282778,-0.3421,8.6096,4.4599,SITTING
2282798,-0.3451,8.6062,4.461,SITTING
2282818,-0.3381,8.6003,4.4576,SITTING
2282838,-0.3279,8.59,4.4602,SITTING
2282858,-0.3299,8.5817,4.4485,SITTING
2282878,-0.3333,8.5807,4.4447,SITTING
2282898,-0.3268,8.5861,4.4405,SITTING
2282918,-0.3318,8.5823,4.4447,SITTING
2282938,-0.3618,8.5894,4.4245,SITTING
2282958,-0.3973,8.5997,4.4262,SITTING
2282978,-0.3781,8.5944,4.361,SITTING
2282998,-0.3496,8.608,4.3061,SITTING
2283018,-0.334,8.5958,4.3366,SITTING
2283038,-0.3205,8.6558,4.3382,SITTING
2283058,-0.3175,8.6841,4.3471,SITTING
2283078,-0.326,8.6746,4.3627,SITTING
2283098,-0.3274,8.6641,4.374,SITTING
2283118,-0.3278,8.6511,4.3833,SITTING
2283138,-0.342,8.6442,4.3993,SITTING
2283158,-0.3478,8.6396,4.4112,SITTING
2283178,-0.3394,8.6304,4.4215,SITTING
2283198,-0.3373,8.6236,4.4252,SITTING
2283218,-0.3394,8.622,4.4241,SITTING
2283238,-0.3449,8.6163,4.427,SITTING
2283258,-0.3446,8.618,4.4345,SITTING
2283278,-0.3443,8.6221,4.4415,SITTING
2283298,-0.3403,8.6215,4.4398,SITTING
2283318,-0.3306,8.6157,4.433,SITTING
2283338,-0.319,8.6056,4.4333,SITTING
2283358,-0.3022,8.6048,4.4397,SITTING
2283378,-0.2906,8.6066,4.4477,SITTING
2283398,-0.2874,8.6091,4.4569,SITTING
2283418,-0.2849,8.6067,4.4571,SITTING
2283438,-0.299,8.5807,4.4532,SITTING
2283458,-0.3263,8.5638,4.4748,SITTING
2283478,-0.2389,8.5383,4.5011,SITTING
2283498,-0.2138,8.5325,4.4593,SITTING
2283518,-0.2358,8.5628,4.4677,SITTING
2283538,-0.2569,8.575,4.4333,SITTING
2283558,-0.2503,8.5752,4.4229,SITTING
2283578,-0.2511,8.5867,4.423,SITTING
2283598,-0.2472,8.5957,4.4285,SITTING
2283618,-0.2412,8.5987,4.4351,SITTING
2283638,-0.2405,8.6009,4.4393,SITTING
2283658,-0.2431,8.6036,4.4417,SITTING
2283678,-0.2398,8.6085,4.4391,SITTING
2283698,-0.2408,8.6125,4.4372,SITTING
2283718,-0.2369,8.6119,4.4408,SITTING
2283738,-0.2404,8.6041,4.4449,SITTING
2283758,-0.2404,8.6017,4.4397,SITTING
2283778,-0.2376,8.603,4.444,SITTING
2283798,-0.2391,8.5977,4.4555,SITTING
2283818,-0.2403,8.6039,4.4615,SITTING
2283838,-0.2357,8.6116,4.4587,SITTING
2283858,-0.2367,8.6149,4.4606,SITTING
2283878,-0.24,8.6141,4.4494,SITTING
2283898,-0.2392,8.6209,4.4454,SITTING
2283918,-0.2423,8.6244,4.4469,SITTING
2283938,-0.277,8.6362,4.4096,SITTING
2283958,-0.2883,8.6337,4.3891,SITTING
2283978,-0.3564,8.63,4.3924,SITTING
2283998,-0.3641,8.6204,4.4267,SITTING
2284018,-0.3674,8.6155,4.422,SITTING
2284038,-0.4074,8.5951,4.3816,SITTING
2284058,-0.4017,8.5895,4.3887,SITTING
2284078,-0.369,8.5814,4.4005,SITTING
2284098,-0.3419,8.5787,4.4065,SITTING
2284118,-0.3252,8.576,4.4126,SITTING
2284138,-0.3109,8.5731,4.4156,SITTING
2284158,-0.2984,8.5766,4.4152,SITTING
2284178,-0.2866,8.5868,4.4213,SITTING
2284198,-0.2778,8.5948,4.4302,SITTING
2284218,-0.2707,8.596,4.4343,SITTING
2284238,-0.2687,8.5997,4.4416,SITTING
2284258,-0.2697,8.6053,4.4455,SITTING
2284278,-0.265,8.6054,4.4474,SITTING
2284298,-0.2605,8.5996,4.4511,SITTING
2284318,-0.2567,8.5877,4.4617,SITTING
2284338,-0.262,8.5743,4.4684,SITTING
2284358,-0.2646,8.5634,4.4689,SITTING
2284378,-0.2674,8.5594,4.4676,SITTING
2284398,-0.2724,8.5644,4.4444,SITTING
2284418,-0.2592,8.5636,4.4352,SITTING
2284438,-0.266,8.5376,4.4251,SITTING
2284458,-0.287,8.5545,4.4559,SITTING
2284478,-0.3202,8.5802,4.5426,SITTING
2284498,-0.3398,8.573,4.5599,SITTING
2284518,-0.3182,8.5655,4.5548,SITTING
2284538,-0.3111,8.5678,4.5606,SITTING
2284558,-0.3051,8.5667,4.5638,SITTING
2284578,-0.2974,8.5664,4.5547,SITTING
2284598,-0.2875,8.5599,4.5456,SITTING
2284618,-0.2797,8.5547,4.5419,SITTING
2284638,-0.2749,8.5486,4.538,SITTING
2284658,-0.2729,8.5503,4.5282,SITTING
2284678,-0.2722,8.5571,4.5249,SITTING
2284698,-0.2727,8.5652,4.5202,SITTING
2284718,-0.2701,8.5671,4.515,SITTING
2284738,-0.2655,8.5716,4.5153,SITTING
2284758,-0.2662,8.576,4.5236,SITTING
2284778,-0.2659,8.5815,4.5266,SITTING
2284798,-0.259,8.5765,4.5228,SITTING
2284818,-0.2538,8.5699,4.5235,SITTING
2284838,-0.2484,8.5701,4.5305,SITTING
2284858,-0.2477,8.5704,4.5315,SITTING
2284878,-0.2451,8.5724,4.5323,SITTING
2284898,-0.2188,8.554,4.5385,SITTING
2284918,-0.1966,8.553,4.4969,SITTING
2284938,-0.2034,8.5395,4.4843,SITTING
2284958,-0.255,8.5533,4.4838,SITTING
2284978,-0.2517,8.6529,4.5072,SITTING
2284998,-0.2318,8.668,4.5013,SITTING
2285018,-0.2497,8.6572,4.474,SITTING
